"","ID","ZONE","VAR","zsv"
"1",1,"CMA","CMA unp","CMAunp"
"2",2,"BAFA","BAFAunp","BAFAunp"
"3",3,"SWB","SWB vk","SWBvk"
"4",4,"BWBS","BWBSvk","BWBSvk"
"5",6,"BWBS","BWBSdk","BWBSdk"
"6",7,"SWB","SWB un","SWBun"
"7",8,"BWBS","BWBSun","BWBSun"
"8",9,"ESSF","ESSFwv","ESSFwv"
"9",10,"SBS","SBS un","SBSun"
"10",11,"SWB","SWB mk","SWBmk"
"11",12,"BWBS","BWBSmk","BWBSmk"
"12",13,"BWBS","BWBSwk 3","BWBSwk3"
"13",14,"BWBS","BWBSmk","BWBSmk"
"14",15,"SWB","SWB mks","SWBmks"
"15",16,"BAFA","BAFAun","BAFAun"
"16",17,"MH","MH  un","MHun"
"17",18,"CWH","CWH wm","CWHwm"
"18",19,"ESSF","ESSFmv 4","ESSFmv4"
"19",20,"ESSF","ESSFmvp","ESSFmvp"
"20",21,"BWBS","BWBSwk 2","BWBSwk2"
"21",22,"ICH","ICH wc","ICHwc"
"22",23,"BWBS","BWBSmw","BWBSmw"
"23",24,"ESSF","ESSFmc","ESSFmc"
"24",25,"ESSF","ESSFmcp","ESSFmcp"
"25",26,"SBS","SBS mc 2","SBSmc2"
"26",27,"ESSF","ESSFmv 3","ESSFmv3"
"27",28,"ESSF","ESSFwvp","ESSFwvp"
"28",29,"ICH","ICH vc","ICHvc"
"29",30,"SBS","SBS mk 2","SBSmk2"
"30",31,"ESSF","ESSFwcp","ESSFwcp"
"31",32,"ESSF","ESSFwc 3","ESSFwc3"
"32",33,"ESSF","ESSFwk 2","ESSFwk2"
"33",34,"SBS","SBS wk 2","SBSwk2"
"34",35,"ICH","ICH mc 1","ICHmc1"
"35",36,"SBS","SBS wk 3","SBSwk3"
"36",37,"ESSF","ESSFmv 2","ESSFmv2"
"37",38,"BWBS","BWBSwk 1","BWBSwk1"
"38",39,"CMA","CMA un","CMAun"
"39",40,"MH","MH  mm 2","MHmm2"
"40",41,"MH","MH  mmp","MHmmp"
"41",42,"MH","MH  mm 1","MHmm1"
"42",43,"SBS","SBS vk","SBSvk"
"43",44,"CWH","CWH ws 2","CWHws2"
"44",45,"ICH","ICH mc 2","ICHmc2"
"45",46,"SBS","SBS mk 1","SBSmk1"
"46",47,"CWH","CWH ws 1","CWHws1"
"47",48,"MH","MH  wh 1","MHwh1"
"48",49,"CWH","CWH vh 2","CWHvh2"
"49",50,"MH","MH  whp","MHwhp"
"50",51,"SBS","SBS wk 1","SBSwk1"
"51",52,"SBS","SBS dk","SBSdk"
"52",53,"CWH","CWH vm 1","CWHvm1"
"53",54,"CWH","CWH vm","CWHvm"
"54",55,"CWH","CWH vm 2","CWHvm2"
"55",56,"SBS","SBS dw 3","SBSdw3"
"56",57,"ESSF","ESSFmv 1","ESSFmv1"
"57",58,"ESSF","ESSFmk","ESSFmk"
"58",59,"ESSF","ESSFmkp","ESSFmkp"
"59",60,"ICH","ICH vk 2","ICHvk2"
"60",61,"CWH","CWH wh 1","CWHwh1"
"61",62,"SBS","SBS mh","SBSmh"
"62",63,"CWH","CWH wh 2","CWHwh2"
"63",64,"ICH","ICH wk 4","ICHwk4"
"64",65,"MH","MH  wh 2","MHwh2"
"65",66,"ESSF","ESSFwk 1","ESSFwk1"
"66",67,"SBS","SBS mc 3","SBSmc3"
"67",68,"ESSF","ESSFmmp","ESSFmmp"
"68",69,"IMA","IMA un","IMAun"
"69",70,"ICH","ICH wk 3","ICHwk3"
"70",71,"ESSF","ESSFmm 1","ESSFmm1"
"71",72,"SBS","SBS mw","SBSmw"
"72",73,"SBS","SBS dw 2","SBSdw2"
"73",74,"ICH","ICH mm","ICHmm"
"74",75,"SBS","SBS dw 1","SBSdw1"
"75",76,"SBPS","SBPSmk","SBPSmk"
"76",77,"SBPS","SBPSdc","SBPSdc"
"77",78,"SBPS","SBPSmc","SBPSmc"
"78",79,"SBS","SBS dh 1","SBSdh1"
"79",80,"ESSF","ESSFwcw","ESSFwcw"
"80",81,"ESSF","ESSFmm 2","ESSFmm2"
"81",82,"MS","MS  xv","MSxv"
"82",83,"ESSF","ESSFxv 1","ESSFxv1"
"83",84,"SBS","SBS dh 2","SBSdh2"
"84",85,"CWH","CWH ms 2","CWHms2"
"85",86,"ICH","ICH wk 2","ICHwk2"
"86",87,"CWH","CWH ds 2","CWHds2"
"87",88,"ESSF","ESSFxvp","ESSFxvp"
"88",89,"SBS","SBS mc 1","SBSmc1"
"89",90,"CWH","CWH vm 3","CWHvm3"
"90",91,"ICH","ICH vk 1","ICHvk1"
"91",92,"ESSF","ESSFmw","ESSFmw"
"92",93,"SBPS","SBPSxc","SBPSxc"
"93",94,"ESSF","ESSFwc 2","ESSFwc2"
"94",95,"ICH","ICH wk 1","ICHwk1"
"95",96,"ICH","ICH mk 3","ICHmk3"
"96",97,"ESSF","ESSFmmw","ESSFmmw"
"97",98,"IDF","IDF xm","IDFxm"
"98",99,"ESSF","ESSFdkp","ESSFdkp"
"99",100,"IDF","IDF dk 3","IDFdk3"
"100",101,"ESSF","ESSFdk 2","ESSFdk2"
"101",102,"IDF","IDF ww","IDFww"
"102",103,"IDF","IDF dw","IDFdw"
"103",104,"IDF","IDF dk 4","IDFdk4"
"104",105,"ICH","ICH mw 3","ICHmw3"
"105",106,"MS","MS  un","MSun"
"106",107,"MS","MS  dc 2","MSdc2"
"107",108,"ESSF","ESSFvcp","ESSFvcp"
"108",109,"ICH","ICH mw 1","ICHmw1"
"109",110,"ESSF","ESSFvc","ESSFvc"
"110",111,"ICH","ICH dw 3","ICHdw3"
"111",112,"ICH","ICH dk","ICHdk"
"112",113,"BG","BG  xw 2","BGxw2"
"113",114,"ESSF","ESSFmwp","ESSFmwp"
"114",115,"IDF","IDF mw 2","IDFmw2"
"115",116,"ESSF","ESSFdc 3","ESSFdc3"
"116",117,"SBS","SBS mm","SBSmm"
"117",118,"ESSF","ESSFvcw","ESSFvcw"
"118",119,"BG","BG  xh 3","BGxh3"
"119",120,"ICH","ICH mk 2","ICHmk2"
"120",121,"IMA","IMA unp","IMAunp"
"121",122,"ESSF","ESSFxv 2","ESSFxv2"
"122",123,"ICH","ICH mk 4","ICHmk4"
"123",124,"ESSF","ESSFdcw","ESSFdcw"
"124",125,"MS","MS  dm 3","MSdm3"
"125",126,"CWH","CWH ms 1","CWHms1"
"126",127,"ESSF","ESSFdcp","ESSFdcp"
"127",128,"MS","MS  dk 2","MSdk2"
"128",129,"ESSF","ESSFwm","ESSFwm"
"129",130,"ESSF","ESSFwmp","ESSFwmp"
"130",131,"IDF","IDF dk 5","IDFdk5"
"131",132,"MS","MS  xk 3","MSxk3"
"132",133,"IDF","IDF xh 2","IDFxh2"
"133",134,"MS","MS  dv","MSdv"
"134",135,"MS","MS  xk 2","MSxk2"
"135",136,"CWH","CWH ds 1","CWHds1"
"136",137,"ESSF","ESSFxc 3","ESSFxc3"
"137",138,"ESSF","ESSFdku","ESSFdku"
"138",139,"CWH","CWH vh 1","CWHvh1"
"139",140,"ESSF","ESSFdkw","ESSFdkw"
"140",141,"IDF","IDF xw","IDFxw"
"141",142,"ESSF","ESSF wh 1","ESSFwh1"
"142",143,"ESSF","ESSFwc 4","ESSFwc4"
"143",144,"ESSF","ESSFxcp","ESSFxcp"
"144",145,"IDF","IDF dk 2","IDFdk2"
"145",146,"ESSF","ESSFxcw","ESSFxcw"
"146",147,"ESSF","ESSFxvw","ESSFxvw"
"147",148,"ESSF","ESSFdvw","ESSFdvw"
"148",149,"ESSF","ESSFdvp","ESSFdvp"
"149",150,"MS","MS  dc 3","MSdc3"
"150",151,"CWH","CWH dm","CWHdm"
"151",152,"ESSF","ESSFdv 2","ESSFdv2"
"152",153,"CWH","CWH un","CWHun"
"153",154,"ESSF","ESSFxc 2","ESSFxc2"
"154",155,"IDF","IDF dk 1","IDFdk1"
"155",156,"IDF","IDF dc","IDFdc"
"156",157,"ICH","ICH mw 2","ICHmw2"
"157",158,"PP","PP  xh 2","PPxh2"
"158",159,"BG","BG  xh 2","BGxh2"
"159",160,"IDF","IDF xc","IDFxc"
"160",161,"MS","MS  dc 1","MSdc1"
"161",162,"ESSF","ESSFdv 1","ESSFdv1"
"162",163,"MS","MS  mw 2","MSmw2"
"163",164,"IDF","IDF dm 2","IDFdm2"
"164",165,"BG","BG  xw 1","BGxw1"
"165",166,"IDF","IDF mw 1","IDFmw1"
"166",167,"ESSF","ESSFmw 2","ESSFmw2"
"167",168,"IDF","IDF ww 1","IDFww1"
"168",169,"ESSF","ESSFmww","ESSFmww"
"169",170,"IDF","IDF xk","IDFxk"
"170",171,"ICH","ICH mk 1","ICHmk1"
"171",172,"IDF","IDF xh 1","IDFxh1"
"172",173,"MS","MS  dm 2","MSdm2"
"173",174,"CWH","CWH xm 2","CWHxm2"
"174",175,"ESSF","ESSFwmw","ESSFwmw"
"175",176,"ESSF","ESSFdc 2","ESSFdc2"
"176",177,"CWH","CWH mm 1","CWHmm1"
"177",178,"CWH","CWH mm 2","CWHmm2"
"178",179,"ESSF","ESSFdk 1","ESSFdk1"
"179",180,"MS","MS  xk 1","MSxk1"
"180",181,"CWH","CWH xm 1","CWHxm1"
"181",182,"IDF","IDF dm 1","IDFdm1"
"182",183,"ICH","ICH dw 1","ICHdw1"
"183",184,"MS","MS  dk 1","MSdk1"
"184",185,"MS","MS  dm 1","MSdm1"
"185",186,"ESSF","ESSFdc 1","ESSFdc1"
"186",187,"ESSF","ESSFmw 1","ESSFmw1"
"187",188,"PP","PP  xh 1","PPxh1"
"188",189,"CDF","CDF mm","CDFmm"
"189",190,"MS","MS  mw 1","MSmw1"
"190",191,"PP","PP  dh 2","PPdh2"
"191",192,"ICH","ICH dm","ICHdm"
"192",193,"ESSF","ESSFdmp","ESSFdmp"
"193",194,"ESSF","ESSFdmw","ESSFdmw"
"194",195,"ESSF","ESSFdm","ESSFdm"
"195",196,"IDF","IDF un","IDFun"
"196",197,"ESSF","ESSFxc 1","ESSFxc1"
"197",198,"ICH","ICH dw 2","ICHdw2"
"198",199,"ICH","ICH mw 4","ICHmw4"
"199",200,"ESSF","ESSFwc 5","ESSFwc5"
"200",201,"ESSF","ESSFwc 6","ESSFwc6"
"201",202,"ICH","ICH xw","ICHxw"
"202",203,"BG","BG  xh 1","BGxh1"
"203",204,"IDF","IDF xh 4","IDFxh4"
"204",205,"PP","PP  xh 3","PPxh3"
